category,rule,do_pattern,do_code,dont_pattern,dont_code,severity
Navigation,Use smooth scroll for anchor links,Smooth scroll to sections with offset for sticky nav,"html { scroll-behavior: smooth; scroll-padding-top: 80px; }",Jump to section instantly with content hidden behind nav,"<a href=""#section""> with no scroll-behavior or scroll-padding",HIGH
Navigation,Sticky navigation on scroll,Nav becomes fixed after scrolling past hero with subtle shadow,"position: sticky; top: 0; backdrop-filter: blur(12px); box-shadow: 0 1px 3px rgba(0,0,0,0.1);",Nav disappears on scroll forcing users to scroll back up,Static positioned nav that scrolls away,HIGH
Navigation,Mobile hamburger menu,Clean slide-in or full-screen overlay menu with smooth transition,"transform: translateX(0); transition: transform 0.3s cubic-bezier(0.16, 1, 0.3, 1);",Tiny dropdown that is hard to tap or covers content awkwardly,Small dropdown menu with no transition,MEDIUM
Navigation,Keep nav items under 7,5-6 nav items plus one CTA button. Group secondary items in footer.,"<nav> Home Services About Reviews Contact <button>Book Now</button></nav>",10+ nav items creating choice paralysis,Nav with every possible page listed,MEDIUM
CTA,Single clear primary CTA,One primary action per viewport. Make it visually dominant.,"<button class=""bg-cta text-white px-8 py-4 rounded-lg text-lg font-semibold"">Book Now</button>",Multiple competing CTAs of equal weight confusing the visitor,Three same-styled buttons: Learn More | Sign Up | Contact Us,HIGH
CTA,CTA contrast ratio,CTA button must have minimum 4.5:1 contrast ratio against its background,"background: #F97316; color: #FFFFFF; /* 4.6:1 ratio */",Low contrast CTA that blends into the background,"background: #93C5FD; color: #FFFFFF; /* 2.1:1 ratio, fails WCAG */",HIGH
CTA,Action-oriented CTA text,Use specific verbs that tell the user what happens next,"""Book Your Free Consultation"" ""Get Your Quote"" ""Start Your Free Trial""",Vague or passive button text that does not communicate value,"""Submit"" ""Click Here"" ""Learn More""",HIGH
CTA,Sticky mobile CTA,Fixed bottom bar on mobile with primary CTA always accessible,"position: fixed; bottom: 0; width: 100%; padding: 12px 16px; z-index: 50;",CTA only visible if user scrolls to the right section,CTA buried in the middle of the page with no fixed element,HIGH
Typography,Heading hierarchy,Clear size and weight progression from h1 to h4. Max 3-4 levels.,"h1: clamp(2.5rem, 5vw, 4rem); h2: clamp(1.75rem, 3vw, 2.5rem); h3: clamp(1.25rem, 2vw, 1.75rem);",All headings similar size creating flat hierarchy,h1: 24px; h2: 22px; h3: 20px — barely distinguishable,HIGH
Typography,Body text readability,16px minimum body text with 1.6-1.75 line height and 60-75 character line width,"font-size: 1rem; line-height: 1.7; max-width: 65ch;",Tiny text with tight line height making long paragraphs exhausting,font-size: 0.75rem; line-height: 1.2; max-width: none;,HIGH
Typography,Responsive font sizing,Use clamp() for fluid typography that scales between breakpoints,"font-size: clamp(2rem, 5vw, 4rem);",Fixed font sizes that are too big on mobile or too small on desktop,font-size: 48px; with a media query to 24px,MEDIUM
Typography,Font loading strategy,Preload critical fonts and use font-display swap to prevent invisible text,"<link rel=""preload"" href=""font.woff2"" as=""font"" crossorigin> font-display: swap;",Fonts load late causing visible layout shift (FOUT/FOIT),No preload and font-display: block causing invisible text,MEDIUM
Color,Consistent color tokens,Define all colors as CSS variables and use them everywhere,":root { --primary: #2563EB; --cta: #F97316; } .btn { background: var(--cta); }",Hardcoded hex values scattered across the stylesheet making changes painful,".btn { background: #F97316; } .link { color: #f97316; } /* inconsistent casing too */",MEDIUM
Color,Dark text on light background,Main body text should be dark (not pure black) on light (not pure white),"color: #1E293B; background: #FAFAFA;",Pure black on pure white creating harsh contrast that causes eye strain,"color: #000000; background: #FFFFFF;",MEDIUM
Color,Accent color restraint,Use the accent or CTA color for max 10-15% of the page. Overuse dilutes impact.,"CTA buttons and key links only use the accent color, rest is neutral",Accent color on backgrounds headings borders AND buttons — everything screams for attention,Every section has an orange background or orange headings,MEDIUM
Animation,Reduced motion respect,Wrap all animations in prefers-reduced-motion media query,"@media (prefers-reduced-motion: reduce) { * { animation: none !important; transition-duration: 0.01ms !important; } }",Animations play regardless of user accessibility settings,No prefers-reduced-motion query anywhere in the stylesheet,HIGH
