name,category,heading_font,body_font,mood,best_for,google_fonts_url
Classic Elegant,Serif + Sans,Playfair Display,Inter,luxury elegant refined,luxury fashion spa wedding photography,https://fonts.google.com/share?selection.family=Playfair+Display|Inter
Modern Authority,Serif + Sans,DM Serif Display,DM Sans,authoritative trustworthy warm,law firms accounting insurance real estate,https://fonts.google.com/share?selection.family=DM+Serif+Display|DM+Sans
Sharp Professional,Sans + Sans,Outfit,Inter,professional clean sharp,agencies consulting SaaS corporate,https://fonts.google.com/share?selection.family=Outfit|Inter
Bold Impact,Display + Sans,Sora,Plus Jakarta Sans,bold energetic confident,fitness gym sports automotive,https://fonts.google.com/share?selection.family=Sora|Plus+Jakarta+Sans
Warm Friendly,Sans + Sans,Nunito,Source Sans 3,warm approachable friendly,clinics coaching education pet services nonprofits,https://fonts.google.com/share?selection.family=Nunito|Source+Sans+3
Technical Precision,Sans + Sans,Space Grotesk,DM Sans,modern innovative precise,tech startups AI SaaS developer tools,https://fonts.google.com/share?selection.family=Space+Grotesk|DM+Sans
Clean Geometric,Sans + Sans,Manrope,Inter,geometric clean structured,agencies dashboards e-commerce platforms,https://fonts.google.com/share?selection.family=Manrope|Inter
Artisan Craft,Serif + Sans,Lora,Karla,crafted artisanal authentic,restaurants cafes bakeries handmade services,https://fonts.google.com/share?selection.family=Lora|Karla
Soft Humanist,Sans + Sans,Poppins,Nunito Sans,soft humanist approachable,beauty salons spas wellness mental health,https://fonts.google.com/share?selection.family=Poppins|Nunito+Sans
Editorial Magazine,Serif + Sans,Fraunces,Work Sans,editorial stylish distinctive,photography creative agencies fashion,https://fonts.google.com/share?selection.family=Fraunces|Work+Sans
Industrial Solid,Sans + Sans,Bebas Neue,Roboto,strong industrial solid,construction trades roofing HVAC,https://fonts.google.com/share?selection.family=Bebas+Neue|Roboto
Organic Natural,Serif + Sans,Cormorant Garamond,Jost,organic natural elegant,landscaping wellness organic food eco services,https://fonts.google.com/share?selection.family=Cormorant+Garamond|Jost
Sleek Dark,Sans + Sans,Cabinet Grotesk,Satoshi,sleek dark premium,car detailing nightlife luxury e-commerce,https://fonts.google.com/share?selection.family=Cabinet+Grotesk|Satoshi
Playful Modern,Display + Sans,Bricolage Grotesque,Plus Jakarta Sans,playful modern fun,pet services event planning kids education,https://fonts.google.com/share?selection.family=Bricolage+Grotesque|Plus+Jakarta+Sans
Minimal Swiss,Sans + Sans,Instrument Sans,Inter,minimal clean Swiss,digital agencies portfolios minimal branding,https://fonts.google.com/share?selection.family=Instrument+Sans|Inter
Heritage Trust,Serif + Sans,Libre Baskerville,Source Sans 3,heritage established trustworthy,insurance accounting legal medical,https://fonts.google.com/share?selection.family=Libre+Baskerville|Source+Sans+3
Nordic Clean,Sans + Sans,Albert Sans,Inter,Scandinavian clean light,Danish businesses Nordic brands clean design,https://fonts.google.com/share?selection.family=Albert+Sans|Inter
Rounded Friendly,Sans + Sans,Quicksand,Nunito,rounded soft friendly,cleaning services childcare pet grooming,https://fonts.google.com/share?selection.family=Quicksand|Nunito
High Contrast,Display + Sans,Clash Display,General Sans,high contrast striking,agencies landing pages bold brands,https://fonts.google.com/share?selection.family=Clash+Display|General+Sans
Monospace Tech,Mono + Sans,JetBrains Mono,IBM Plex Sans,technical precise focused,developer tools SaaS dashboards AI products,https://fonts.google.com/share?selection.family=JetBrains+Mono|IBM+Plex+Sans
