pattern_name,best_for,section_order,cta_placement,color_strategy,effects,conversion_tips
Hero + Social Proof + Features,SaaS agencies tech,Hero with headline and CTA > Logo bar or testimonial strip > Feature grid (3-4 cards) > Detailed feature sections > Testimonials > Pricing > Final CTA,Primary CTA in hero and repeated after testimonials. Secondary CTA after features.,Hero uses primary bg or gradient. Features alternate white and light bg. CTA sections use primary with white text.,Staggered hero entrance (heading then subtext then CTA). Feature cards fade in on scroll. Testimonial carousel auto-play.,Logo bar immediately after hero builds instant credibility. Keep hero CTA to ONE action. Repeat CTA after every proof section.
Before-After Transformation,Fitness coaching detailing cleaning,Hero showing transformation > Before/After showcase > Process steps > Results/testimonials > Packages > CTA,CTA after the before/after section when desire peaks. Repeat after testimonials.,High contrast between before (muted desaturated) and after (vibrant saturated). CTA in accent color.,Before/after slider interaction. Smooth reveal animations. Counter animations for results.,Show the transformation FIRST. Numbers and percentages beat vague claims. Make the before state relatable.
Trust-First Authority,Law medical insurance accounting,Hero with credentials > Trust badges and certifications > Services overview > Team profiles > Case studies > Contact form,Contact form visible in hero or sticky sidebar. Phone number in header always.,Conservative palette. Navy or dark primary. Gold or green accents for trust badges. White backgrounds.,Minimal animation. Subtle fade-ins only. Credential badges with hover detail. Smooth scroll to sections.,Lead with credentials not creativity. Show the team — these industries sell people. Phone number must be visible at all times.
Visual Portfolio,Photography creative agencies wedding,Full-bleed hero image > Portfolio masonry grid > About/approach > Selected projects detail > Testimonials > Contact,Minimal CTAs. One in nav one after portfolio. Let the work sell.,Monochrome or muted palette so the portfolio work is the color. Dark mode works well.,Image hover reveals. Lightbox gallery. Smooth page transitions. Parallax on hero.,The work IS the marketing. Minimize text maximize visuals. Category filters help visitors find relevant work.
Booking-Focused Service,Clinics salons spas trades,Hero with booking CTA > Services with prices > Reviews > About/team > FAQ > Booking form,Booking CTA in hero sticky on mobile and repeated after reviews. Phone number in header.,Warm inviting palette. CTA in high-contrast accent. Service cards on white or light bg.,Subtle hover on service cards. Smooth scroll to booking. Star rating animations. Calendar widget integration.,Put the booking path front and center. Show ratings near the top. Include price ranges — people comparison-shop services. FAQ reduces booking friction.
Menu-First Restaurant,Restaurants cafes food,Hero with food photography > Menu highlights or full menu > Location and hours > Reservation > Gallery > About,Reservation CTA in hero and nav. Sticky mobile bar with call and reserve buttons.,Warm appetizing palette. Dark mode with warm accents works for upscale. Light for casual.,Food image parallax. Menu category tabs. Smooth reveal on menu items. Map integration.,Menu must be native HTML not a PDF link. Hours and location above the fold for mobile. Professional food photography is non-negotiable.
Emergency Service,Plumbing electrical locksmith HVAC,Hero with phone number and emergency CTA > Services > Service areas > Reviews > About > FAQ,Giant phone number in hero. Click-to-call on mobile. Emergency banner if applicable.,High contrast for urgency. Blue for trust with orange or red CTA. Clean white background.,Minimal animation — speed is priority. Fast load times. Sticky call button on mobile.,Phone number must be the most visible element. Load time under 2 seconds — emergency customers bounce fast. Show service area prominently.
Product Showcase,E-commerce single product DTC,Hero with product > Feature breakdown > How it works > Social proof > Comparison > Pricing > FAQ > CTA,Buy CTA in hero sticky on scroll. Repeated after comparison and FAQ.,Product-focused. Clean white for product shots. Accent color for buy buttons only.,Product image zoom. Smooth scroll between sections. Feature reveal animations. Price toggle for variants.,One product one page one CTA. Remove all navigation distractions. Comparison section against alternatives builds confidence.
Personal Brand,Coaching consulting freelance,Hero with personal photo > Story or method > Results > Testimonials > Services > Booking,Booking CTA after results section when trust peaks. Secondary CTA in hero.,Personal and warm. Use colors that complement the personal photo. Avoid corporate cold palettes.,Personal photo parallax. Testimonial carousel. Result counter animations. Smooth scroll.,Your face must be above the fold — people buy people. Lead with results not biography. One clear offer not a menu of 10 services.
Community / Membership,Online courses Skool communities memberships,Hero with value prop > What you get > Member results > Preview or sample > Pricing tiers > FAQ > Join CTA,Join CTA in hero after member results and after FAQ. Scarcity element if applicable.,Energetic palette. Community-feel colors. Purple or blue primary with warm accent CTA.,Member count animation. Testimonial video embeds. Pricing card hover effects. Preview section peek.,Show member results prominently. Preview content reduces uncertainty. Limited spots or cohort model creates urgency. Video testimonials outperform text 3:1.
Local Service Area,Any local service business,Hero with location > Services > Service area map > Reviews > About > Contact form,Contact form and phone number always visible. CTA references the local area by name.,Trust-building palette. Local imagery in hero. Clean and professional.,Map integration. Area highlight on hover. Review carousel. Simple contact form.,Mention the city or area name in the hero headline — local SEO and relevance. Google reviews embed is more trusted than manual testimonials. Show the service area clearly.
