product_type,recommended_style,color_mood,typography_mood,key_effects,anti_patterns,severity
Marketing Agency,Hero + Case Studies + CTA,Dark primary + orange CTA,Sharp Professional,Scroll-triggered reveals staggered card entrances hover lift on case studies,Generic stock photos instead of real work samples,HIGH
Marketing Agency,Hero + Case Studies + CTA,Dark primary + orange CTA,Sharp Professional,Scroll-triggered reveals staggered card entrances hover lift on case studies,Too many services listed without hierarchy — overwhelms visitors,MEDIUM
Marketing Agency,Hero + Case Studies + CTA,Dark primary + orange CTA,Sharp Professional,Scroll-triggered reveals staggered card entrances hover lift on case studies,No social proof above the fold,HIGH
Creative Agency,Full-bleed hero + Portfolio grid,Monochrome + accent pop,Editorial Magazine,Smooth page transitions cursor-follow effects image parallax,Cluttered layout that contradicts the creative positioning,HIGH
Creative Agency,Full-bleed hero + Portfolio grid,Monochrome + accent pop,Editorial Magazine,Smooth page transitions cursor-follow effects image parallax,Using generic templates — undermines credibility as a creative agency,HIGH
AI / Tech Agency,Dark mode hero + Demo section,Deep dark + purple accents,Technical Precision,Glassmorphism cards code-style animations gradient borders,Light mode default — dark mode signals technical sophistication,MEDIUM
AI / Tech Agency,Dark mode hero + Demo section,Deep dark + purple accents,Technical Precision,Glassmorphism cards code-style animations gradient borders,Overusing AI buzzwords without showing concrete results,HIGH
Dental Clinic,Hero + Services + Reviews + Booking,Teal + green trust signals,Warm Friendly,Subtle fade-ins clean card layouts prominent booking CTA,Using clinical/sterile imagery — feels cold and scary,HIGH
Dental Clinic,Hero + Services + Reviews + Booking,Teal + green trust signals,Warm Friendly,Subtle fade-ins clean card layouts prominent booking CTA,Red as primary color — triggers anxiety in healthcare,HIGH
Dental Clinic,Hero + Services + Reviews + Booking,Teal + green trust signals,Warm Friendly,Subtle fade-ins clean card layouts prominent booking CTA,No visible phone number or booking button above fold,HIGH
Medical Clinic,Clean hero + Trust badges + Services,Blue trust + green accents,Heritage Trust,Minimal animations clean transitions focus on readability,Flashy animations — patients want calm and trust,HIGH
Medical Clinic,Clean hero + Trust badges + Services,Blue trust + green accents,Heritage Trust,Minimal animations clean transitions focus on readability,Missing credentials or certifications display,HIGH
Physiotherapy,Hero with action imagery + Services + Booking,Teal + amber warmth,Warm Friendly,Gentle scroll animations body-area interactive selector,Before/after sliders without patient consent indicators,MEDIUM
Mental Health,Calm hero + Approach + Booking,Soft purple + green calm,Soft Humanist,Very gentle transitions soft color shifts minimal motion,Aggressive CTAs or urgency language — insensitive to the audience,HIGH
Mental Health,Calm hero + Approach + Booking,Soft purple + green calm,Soft Humanist,Very gentle transitions soft color shifts minimal motion,Stock photos of sad people — feels exploitative,HIGH
Beauty / Spa,Visual hero + Services + Gallery + Booking,Blush pink + gold luxury,Soft Humanist,Image hover zoom smooth scroll elegant loading transitions,Low-quality service photos — this industry is visual-first,HIGH
Beauty / Spa,Visual hero + Services + Gallery + Booking,Blush pink + gold luxury,Soft Humanist,Image hover zoom smooth scroll elegant loading transitions,Cluttered pricing tables — spa experience should feel premium,MEDIUM
Hair Salon,Hero + Stylist profiles + Gallery + Booking,Warm neutrals + amber accent,Artisan Craft,Before/after slider gallery carousel smooth hover states,Missing stylist profiles — people choose salons by stylist,HIGH
Real Estate,Search-first hero + Featured listings + Trust,Navy + gold premium,Modern Authority,Map integration card hover with preview smooth filtering,Too many listings on homepage — curate the best 6-8,MEDIUM
Real Estate,Search-first hero + Featured listings + Trust,Navy + gold premium,Modern Authority,Map integration card hover with preview smooth filtering,No neighborhood or area information — buyers research areas first,HIGH
Plumbing,Hero + Services + Reviews + Emergency CTA,Blue trust + orange urgency,Industrial Solid,Minimal animations fast-loading prominent phone number,Hiding the phone number — emergency customers need it immediately,HIGH
Plumbing,Hero + Services + Reviews + Emergency CTA,Blue trust + orange urgency,Industrial Solid,Minimal animations fast-loading prominent phone number,Complex navigation — most visitors need 1 of 3 things: call book or check services,MEDIUM
