product_type,primary,secondary,cta,background,text,border
Marketing Agency,#0F172A,#334155,#F97316,#FAFAFA,#0F172A,#E2E8F0
Creative Agency,#18181B,#3F3F46,#E11D48,#FAFAF9,#18181B,#D4D4D8
Digital Agency,#1E293B,#475569,#3B82F6,#F8FAFC,#0F172A,#CBD5E1
AI / Tech Agency,#09090B,#27272A,#8B5CF6,#FAFAFA,#09090B,#E4E4E7
Dental Clinic,#0E7490,#22D3EE,#059669,#F0FDFA,#134E4A,#99F6E4
Medical Clinic,#0369A1,#38BDF8,#10B981,#F0F9FF,#0C4A6E,#BAE6FD
Physiotherapy,#0D9488,#5EEAD4,#F59E0B,#F0FDFA,#115E59,#99F6E4
Mental Health,#7C3AED,#A78BFA,#10B981,#FAF5FF,#3B0764,#DDD6FE
Veterinary,#15803D,#4ADE80,#F97316,#F0FDF4,#14532D,#BBF7D0
Beauty / Spa,#831843,#F472B6,#CA8A04,#FFF1F2,#4C0519,#FECDD3
Hair Salon,#292524,#78716C,#D97706,#FAFAF9,#1C1917,#D6D3D1
Real Estate,#1E3A5F,#3B82F6,#F59E0B,#F8FAFC,#0F172A,#CBD5E1
Property Management,#1E293B,#64748B,#059669,#F8FAFC,#0F172A,#E2E8F0
Plumbing,#1D4ED8,#60A5FA,#F97316,#EFF6FF,#1E3A8A,#BFDBFE
Electrician,#B45309,#FBBF24,#1D4ED8,#FFFBEB,#78350F,#FDE68A
HVAC,#0E7490,#67E8F9,#F97316,#ECFEFF,#164E63,#A5F3FC
General Contractor,#292524,#78716C,#EA580C,#FAFAF9,#1C1917,#D6D3D1
Roofing,#1C1917,#57534E,#DC2626,#F5F5F4,#0C0A09,#D6D3D1
Landscaping,#166534,#4ADE80,#D97706,#F0FDF4,#052E16,#BBF7D0
Cleaning Services,#0284C7,#7DD3FC,#10B981,#F0F9FF,#075985,#BAE6FD
Car Detailing,#18181B,#3F3F46,#EAB308,#FAFAFA,#09090B,#E4E4E7
Auto Repair,#1E293B,#475569,#DC2626,#F8FAFC,#0F172A,#CBD5E1
E-commerce (Fashion),#18181B,#3F3F46,#E11D48,#FAFAFA,#09090B,#E4E4E7
E-commerce (General),#1E40AF,#3B82F6,#F97316,#F8FAFC,#1E293B,#CBD5E1
E-commerce (Luxury),#1C1917,#44403C,#CA8A04,#FAFAF9,#0C0A09,#D6D3D1
SaaS / Software,#2563EB,#3B82F6,#F97316,#F8FAFC,#1E293B,#E2E8F0
HR / Recruitment,#4F46E5,#818CF8,#F97316,#EEF2FF,#312E81,#C7D2FE
Coaching / Consulting,#7C3AED,#A78BFA,#F59E0B,#FAF5FF,#3B0764,#DDD6FE
Fitness / Gym,#18181B,#3F3F46,#EF4444,#FAFAFA,#09090B,#E4E4E7
Restaurant / Food,#7C2D12,#FB923C,#EAB308,#FFF7ED,#431407,#FED7AA
Cafe / Coffee,#44403C,#A8A29E,#92400E,#FAF9F6,#1C1917,#D6D3D1
Law Firm,#1E293B,#475569,#B45309,#F8FAFC,#0F172A,#CBD5E1
Accounting,#0F4C81,#3B82F6,#059669,#F8FAFC,#0C2D4A,#CBD5E1
Insurance,#1E3A5F,#60A5FA,#10B981,#F0F9FF,#0F172A,#BFDBFE
Photography,#18181B,#3F3F46,#E11D48,#FAFAFA,#09090B,#E4E4E7
Wedding Services,#4A1942,#D4A5C8,#CA8A04,#FDF8FC,#2D0A28,#F0D4E8
Pet Services,#F97316,#FDBA74,#2563EB,#FFF7ED,#7C2D12,#FED7AA
Education / Tutoring,#1D4ED8,#93C5FD,#F59E0B,#EFF6FF,#1E3A8A,#BFDBFE
Nonprofit,#059669,#6EE7B7,#7C3AED,#ECFDF5,#064E3B,#A7F3D0
Event Planning,#7C3AED,#C4B5FD,#E11D48,#FAF5FF,#3B0764,#DDD6FE
